s_x,s_y,a_dx,a_dy,reward,s'_x,s'_y
140,155,-5,-5,-0.04901242634298342,135,150
135,150,-5,-5,0.04706003449815058,130,145
130,145,-5,-5,0.1426427839783571,125,140
125,140,-5,-5,0.23765127264825314,120,135
120,135,-5,-5,0.33198197897817183,115,130
115,130,-5,-5,0.22550709142633996,110,125
110,125,-5,-5,-0.3819326219883863,105,120
105,120,-5,-5,-0.4905374932613654,100,115
100,115,-5,-5,-0.30056227159381593,95,110
95,110,-5,-5,-0.11233471366520575,90,105
90,105,-5,-5,-0.02628194919697932,85,100
85,100,-5,-5,-0.042968525822737996,80,95
80,95,-5,-5,-0.26315235494936073,75,90
75,90,-5,-5,-0.28786870400320763,70,85
70,85,-5,-5,-0.41855919352336174,65,80
65,80,-5,-5,-0.35727490947866725,60,75
60,75,-5,-5,-0.40700502948083395,55,70
55,70,-5,-5,-0.37222440257006895,50,65
50,65,-5,-5,-0.4598348968900865,45,60
45,60,-5,-5,-0.5808357931005901,40,55
40,55,-5,-5,-0.7533746336210285,35,50
35,50,-5,-5,-1.0084194681836465,30,45
30,45,-5,-5,-1.4001503329393685,25,40
25,40,-5,-5,-2.022948569413078,20,35
20,35,-5,-5,-3.0272512272420578,15,30
15,30,-5,-5,-4.581627233737066,10,25
10,25,-5,-5,-6.669586424049253,5,20
5,20,-5,-5,-8.863379364950514,0,15
0,15,0,-5,-9.700323312970113,0,10
0,10,0,-5,-9.787726134225203,0,5
0,5,0,-5,-9.842232586676502,0,0
0,0,0,1,-0.028211932177121923,0,1
0,1,0,-1,-1.971788067822878,0,0
0,0,0,1,-0.028211932177121923,0,1
0,1,0,1,-0.029748510938858885,0,2
0,2,0,-2,-3.942039556884019,0,0
0,0,0,1,-0.028211932177121923,0,1
0,1,0,1,-0.029748510938858885,0,2
0,2,0,-1,-1.9702514890611411,0,1
0,1,0,1,-0.029748510938858885,0,2
0,2,0,1,-0.031412027562112144,0,3
0,3,0,-3,-5.910627529321907,0,0
0,0,0,1,-0.028211932177121923,0,1
0,1,0,1,-0.029748510938858885,0,2
0,2,0,1,-0.031412027562112144,0,3
0,3,0,-2,-3.938839461499029,0,1
0,1,0,1,-0.029748510938858885,0,2
0,2,0,1,-0.031412027562112144,0,3
0,3,0,-1,-1.9685879724378879,0,2
0,2,0,1,-0.031412027562112144,0,3
0,3,0,1,-0.033216603332896,0,4
0,4,0,-4,-7.877410925989011,0,0
0,0,0,1,-0.028211932177121923,0,1
0,1,0,1,-0.029748510938858885,0,2
0,2,0,1,-0.031412027562112144,0,3
0,3,0,1,-0.033216603332896,0,4
0,4,0,-3,-5.905622858166133,0,1
0,1,0,1,-0.029748510938858885,0,2
0,2,0,1,-0.031412027562112144,0,3
0,3,0,1,-0.033216603332896,0,4
0,4,0,-2,-3.935371369104992,0,2
0,2,0,1,-0.031412027562112144,0,3
0,3,0,1,-0.033216603332896,0,4
0,4,0,-1,-1.966783396667104,0,3
0,3,0,1,-0.033216603332896,0,4
0,4,0,1,-0.03517833931250891,0,5
0,5,0,-4,-7.870444518853624,0,1
0,1,0,1,-0.029748510938858885,0,2
0,2,0,1,-0.031412027562112144,0,3
0,3,0,1,-0.033216603332896,0,4
0,4,0,1,-0.03517833931250891,0,5
0,5,0,-3,-5.900193029792483,0,2
0,2,0,1,-0.031412027562112144,0,3
0,3,0,1,-0.033216603332896,0,4
0,4,0,1,-0.03517833931250891,0,5
0,5,0,-2,-3.931605057354595,0,3
0,3,0,1,-0.033216603332896,0,4
0,4,0,1,-0.03517833931250891,0,5
0,5,0,-1,-1.964821660687491,0,4
0,4,0,1,-0.03517833931250891,0,5
0,5,0,1,-0.03731565128484249,0,6
0,6,0,-5,-9.833128867568782,0,1
0,1,0,1,-0.029748510938858885,0,2
0,2,0,1,-0.031412027562112144,0,3
0,3,0,1,-0.033216603332896,0,4
0,4,0,1,-0.03517833931250891,0,5
0,5,0,1,-0.03731565128484249,0,6
0,6,0,-4,-7.8628773785076405,0,2
0,2,0,1,-0.031412027562112144,0,3
0,3,0,1,-0.033216603332896,0,4
